image,cve_id,package,n_scanners,scanners
python-3.9-slim-bookworm,CVE-2011-3374,apt,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2017-18018,coreutils,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-5278,coreutils,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-1390,libcap2,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2026-41989,libgcrypt20,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2018-6829,libgcrypt20,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-2236,libgcrypt20,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-12133,libtasn1-6,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-15467,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2026-31789,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-6119,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-69419,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-69421,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2026-28387,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2026-28388,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2026-28389,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2026-28390,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2023-5678,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2023-6129,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2023-6237,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-0727,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-13176,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-4603,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-4741,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-5535,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-68160,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-69418,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-69420,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-9230,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2026-22795,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2026-22796,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2026-31790,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-2511,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2024-9143,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-27587,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2025-9232,openssl,3,"grype,scout,trivy"
python-3.9-slim-bookworm,CVE-2005-2541,tar,3,"grype,scout,trivy"
